movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt4154756,Avengers: Infinity War,2018,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, 
Joe Russo",/name/nm0751577/,"Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans","/name/nm0751648/,/name/nm0000375/,/name/nm1165110/,/name/nm0749263/,/name/nm0262635/",1095301.0,678815482.0
tt0116367,From Dusk Till Dawn,1996,R,108 min,"Action, Crime, Horror",7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,/name/nm0001675/,"Harvey Keitel, 
George Clooney, 
Juliette Lewis, 
Quentin Tarantino","/name/nm0000172/,/name/nm0000123/,/name/nm0000496/,/name/nm0000233/",319985.0,25753840.0
tt7126948,Wonder Woman 1984,2020,PG-13,151 min,"Action, Adventure, Fantasy",5.4,"Diana must contend with a work colleague, and with a businessman whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins,/name/nm0420941/,"Gal Gadot, 
Chris Pine, 
Kristen Wiig, 
Pedro Pascal","/name/nm2933757/,/name/nm1517976/,/name/nm1325419/,/name/nm0050959/",272614.0,46370364.0
tt5463162,Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,/name/nm0500610/,"Ryan Reynolds, 
Josh Brolin, 
Morena Baccarin, 
Julian Dennison","/name/nm0005351/,/name/nm0000982/,/name/nm1072555/,/name/nm5421877/",591647.0,324591735.0
tt2802144,Kingsman: The Secret Service,2014,R,129 min,"Action, Adventure, Comedy",7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Matthew Vaughn,/name/nm0891216/,"Colin Firth, 
Taron Egerton, 
Samuel L. Jackson, 
Michael Caine","/name/nm0000147/,/name/nm5473782/,/name/nm0000168/,/name/nm0000323/",675476.0,128261724.0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,/name/nm0893659/,"Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley","/name/nm0000136/,/name/nm0001691/,/name/nm0089217/,/name/nm0461136/",1137362.0,305413918.0
tt5095030,Ant-Man and the Wasp,2018,PG-13,118 min,"Action, Adventure, Comedy",7.0,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Peyton Reed,/name/nm0715636/,"Paul Rudd, 
Evangeline Lilly, 
Michael Peña, 
Walton Goggins","/name/nm0748620/,/name/nm1431940/,/name/nm0671567/,/name/nm0324658/",410304.0,216648740.0
tt6146586,John Wick: Chapter 3 - Parabellum,2019,R,130 min,"Action, Crime, Thriller",7.4,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Chad Stahelski,/name/nm0821432/,"Keanu Reeves, 
Halle Berry, 
Ian McShane, 
Laurence Fishburne","/name/nm0000206/,/name/nm0000932/,/name/nm0574534/,/name/nm0000401/",352539.0,171015687.0
tt0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179 min,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,/name/nm0001392/,"Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom","/name/nm0000704/,/name/nm0005212/,/name/nm0001557/,/name/nm0089217/",1679818.0,342551365.0
tt0097576,Indiana Jones and the Last Crusade,1989,PG-13,127 min,"Action, Adventure",8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,/name/nm0000229/,"Harrison Ford, 
Sean Connery, 
Alison Doody, 
Denholm Elliott","/name/nm0000148/,/name/nm0000125/,/name/nm0233145/,/name/nm0001186/",761587.0,197171806.0
tt0780504,Drive,2011,R,100 min,"Action, Drama",7.8,"A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver,",Nicolas Winding Refn,/name/nm0716347/,"Ryan Gosling, 
Carey Mulligan, 
Bryan Cranston, 
Albert Brooks","/name/nm0331516/,/name/nm1659547/,/name/nm0186505/,/name/nm0000983/",651673.0,35061555.0
tt0083658,Blade Runner,1982,R,117 min,"Action, Drama, Sci-Fi",8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,/name/nm0000631/,"Harrison Ford, 
Rutger Hauer, 
Sean Young, 
Edward James Olmos","/name/nm0000148/,/name/nm0000442/,/name/nm0000707/,/name/nm0001579/",777470.0,32868943.0
tt1345836,The Dark Knight Rises,2012,PG-13,164 min,"Action, Drama",8.4,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Christopher Nolan,/name/nm0634240/,"Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman","/name/nm0000288/,/name/nm0362766/,/name/nm0004266/,/name/nm0000198/",1717874.0,448139099.0
tt4912910,Mission: Impossible - Fallout,2018,PG-13,147 min,"Action, Adventure, Thriller",7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,/name/nm0003160/,"Tom Cruise, 
Henry Cavill, 
Ving Rhames, 
Simon Pegg","/name/nm0000129/,/name/nm0147147/,/name/nm0000609/,/name/nm0670408/",338316.0,220159104.0
tt1469304,Baywatch,2017,R,116 min,"Action, Comedy, Crime",5.5,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,/name/nm1164861/,"Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas","/name/nm0425005/,/name/nm1374980/,/name/nm1275259/,/name/nm1231899/",190473.0,58060186.0
